State,Item No,Amount
MI,00901,31
NY,00925,31
MD,02493,12
CO,00942,167
AZ,00115,375
NH,00056,111
WV,00488,70
NH,00050,17
QL,00942,6
TX,00508,67
MT,00408,311
SD,00508,11
TX,00180,225
NE,00126,149
MB,00491,3
VA,00005,234
WY,00630,57
OR,02070,4
MA,02005,23
AZ,02435,13
AK,00871,23
MO,02483,3
RI,00001,53
GA,00510,124
WA,00428,8
MN,00133,155
SC,00820,41
ID,00120,33
UT,00882,365
NJ,00943,167
CT,02491,3
WI,01488,11
ME,00101,65
NJ,00108,7
MT,02408,15
CO,02022,8
OK,00120,3
NC,00045,78
ON,00058,9
CA,02760,29
CO,01004,86
SD,00001,139
IL,00482,5
RI,00406,41
TX,00155,574
SC,00005,24
AZ,00760,19
FL,00102,2614
CA,00138,1570
AK,02492,17
MI,00254,164
UT,00901,13
GA,00765,62
AR,02078,13
CA,00130,180
UT,00077,22
CT,00460,7
VT,02488,5
NY,00730,6
TN,00082,129
GA,00467,483
OH,00425,72
OH,00855,30
ID,00102,199
MD,00750,12
NV,02482,3
MO,00530,41
OH,00428,43
TN,02080,24
AK,00254,6
WA,00250,20
AZ,00134,43
WA,00855,56
RI,00075,231
MD,00184,26
MI,00045,441
BC,00403,3
UT,00960,6
MN,00006,254
SD,00101,177
UT,00843,398
NM,00131,54
NE,00404,186
MS,00482,31
NV,00019,18
IA,00379,73
MI,00082,375
NV,00080,123
MA,00100,54
SD,00750,79
NC,00019,34
NE,00735,5
MA,02492,24
WV,00365,3
GA,02488,312
MN,00400,55
MO,00381,4
WY,00520,32
OH,00883,84
WY,00883,19
CA,00720,292
AZ,00810,191
WA,00750,31
AZ,00058,366
UT,02082,10
CT,00014,33
WY,00494,85
FL,00872,189
MS,00402,17
CA,00630,704
NY,00375,16
PA,00427,953
MA,00871,5
ID,00115,97
OH,00406,319
WA,00225,36
MT,00002,80
PA,00150,77
TX,00210,159
FL,00530,832
MO,02102,57
WV,00610,23
AK,00180,109
WY,00491,82
CA,00494,2468
VA,00494,444
FL,02044,31
HI,02494,4
IL,02488,89
CT,00697,13
MI,00184,296
KS,00225,11
MD,00082,13
ID,00481,35
WA,00184,242
TX,00012,658
MI,00078,422
MI,00883,45
KS,00616,27
CA,00941,1658
OR,02062,14
GA,02062,17
MD,00045,8
IL,02102,126
ON,00060,3
MS,00045,64
ND,00024,21
MN,00991,3
OR,00855,43
SD,00730,14
AK,00032,73
NE,00619,7
WY,00880,119
NJ,00960,8
AL,00197,7
AR,00619,12
NH,00520,4
MS,00875,3
TX,00250,34
AR,00134,54
VA,00841,3
SC,00750,46
SC,00123,7
ME,00350,4
VA,02022,3
WV,00613,21
LA,00494,83
NH,00018,13
OH,00199,470
NY,00072,87
BC,02486,3
MO,00745,8
NV,02012,4
SC,00619,7
QL,00840,3
NC,01102,21
NC,00482,21
PA,00735,96
MA,00134,101
CT,02102,12
KS,02491,39
ND,00697,60
IA,01004,25
NE,00492,65
ME,00075,3
MI,00428,18
UT,00260,554
IA,00017,27
IA,00002,61
IA,00450,95
UT,02072,11
NV,00150,8
TN,00493,647
KS,00254,5
NE,00375,16
IL,00003,409
TN,02004,142
BC,00854,36
MS,00780,4
IL,00075,121
NC,00032,172
KS,00780,4
KY,00467,134
ID,00195,25
OK,00872,5
ID,00360,10
DE,00039,6
ME,00870,5
OR,00870,136
MD,00004,113
WY,00001,80
OK,02061,63
WV,00260,27
MD,00048,8
PA,00854,2419
AR,00880,57
NE,00133,96
LA,00943,27
CA,00820,628
MO,00075,42
ME,00965,4
MI,00114,259
MI,00406,731
KY,00870,34
WA,00114,43
MN,00740,18
SD,00075,79
OH,00100,145
IN,00075,18
KS,00200,49
HI,00486,8
FL,00942,345
MS,00048,72
ID,00630,31
TX,00245,327
WY,00058,87
SC,00870,15
WI,00184,106
AR,00130,39
NJ,00001,188
VA,00188,36
IA,00192,3
WV,00001,34
OR,00404,370
WI,02003,58
TX,02775,11
KY,00195,5
GA,00404,1081
WV,00494,13
OH,00960,16
SC,00630,18
IA,00508,18
NY,00821,14
MD,00402,10
SD,00870,94
TN,00210,9
ME,02056,19
MI,00032,666
NY,00943,204
NY,00108,21
NJ,01004,6
OH,00072,111
SC,01435,16
PA,00850,2100
CT,00402,9
WI,02039,10
MO,02494,14
MN,00760,24
HI,00850,41
VA,00111,6
BC,02770,3
FL,00697,382
UT,00481,24
KY,00404,97
NM,00380,10
MT,02061,15
TX,00297,3
MS,00032,125
MA,00188,7
MA,00350,19
NH,02493,14
MT,00041,28
WA,00199,407
OH,00254,106
AK,00100,28
WI,00048,149
TX,00881,138
MO,00380,8
NH,00405,4
VA,00760,5
MI,00199,1179
IL,02022,3
MT,00126,56
PA,02735,9
WV,00520,3
PA,02024,22
NV,00187,120
NE,00408,34
AL,00940,59
QL,00002,3
PA,00365,84
AL,00128,66
MA,00406,100
WI,00402,37
UT,00950,16
NY,00406,554
CO,02002,22
NH,00074,11
CA,00077,100
MD,00820,8
TX,00360,75
AR,00058,44
NE,00433,149
CA,02725,4
OH,00032,242
IN,00012,63
MI,00650,366
PA,00865,504
OR,02435,16
MT,00381,5
MO,00078,120
NE,00058,62
NJ,00133,201
PA,02056,208
AL,00080,54
VA,00058,113
IN,00616,24
CO,02074,24
IA,00942,5
LA,00062,16
FL,00017,680
ME,02492,12
NC,00520,60
UT,00610,223
CO,00940,277
WI,02070,15
MD,00880,60
ID,01003,9
MO,02056,10
WY,00740,10
BC,02060,9
UT,00613,430
CA,02072,24
MN,00074,80
QL,00940,4
NE,00245,4
CA,00843,1320
NH,00854,42
BC,00851,21
FL,00617,41
MA,00111,12
IN,02056,15
SC,00058,26
PA,00990,67
FL,00014,657
SC,00131,17
IL,09001,4
SD,00820,60
CO,00765,21
LA,00003,105
MT,00375,9
UT,00720,114
KS,00820,46
KY,00044,5
BC,00405,4
CO,00197,54
WI,03090,14
NC,00380,24
AZ,00785,22
NC,00810,356
MI,00048,391
ID,00493,331
MS,00061,79
ID,00005,73
SD,02492,26
NE,02078,3
VA,02061,21
NY,01102,47
CO,02060,93
MN,00494,709
ID,00131,187
NC,02070,7
TX,02003,321
MA,00062,55
ID,00810,85
PA,02001,87
AZ,00613,127
WA,00880,223
MN,00298,31
NY,VP940,3
NM,00400,10
WA,02002,12
LA,00199,6
WY,00102,99
CA,00002,595
WA,00108,48
IL,00486,72
IL,00100,78
SD,00364,7
OK,00491,83
GA,00041,224
BC,02050,5
TN,00048,63
IN,00483,6
SC,00491,169
ID,00488,493
CA,00115,1789
AZ,00520,25
MO,00486,77
MI,00155,213
GA,02039,144
IN,00254,44
AK,00883,16
WI,00050,99
TX,00660,181
WA,00155,121
ID,02061,5
MD,00061,38
NC,02494,44
UT,B99804,4
NE,09001,21
KY,00005,62
WV,00108,5
SD,02022,5
NC,00765,9
WY,00242,3
UT,09022,4
MI,02486,19
NJ,00100,235
TX,00402,442
WI,00881,95
AR,00510,40
AL,01003,4
WA,00254,28
NJ,00260,136
CA,00491,2963
TX,00964,7
VA,00133,111
MT,02080,9
NE,00383,4
TX,00970,11
NE,00006,67
KS,00530,3
IL,00079,79
OK,00630,34
KY,00990,13
NE,00130,5
GA,00045,239
CA,00195,280
FL,00024,265
VA,00129,348
WY,02725,3
OH,00108,12
NY,00019,179
IN,00200,24
UT,00131,174
FL,00241,7
UT,00619,76
TX,02001,46
KS,00075,28
AR,00133,34
MD,00155,5
PA,00486,675
AZ,00619,25
NC,00078,112
CA,00080,1303
TN,00195,27
BC,00941,66
MI,00745,25
NE,00613,111
NH,00851,3
CA,00610,941
ND,00381,4
NY,02493,131
SK,00433,5
UT,02750,4
OK,00941,57
MO,00820,131
AZ,02078,10
PA,02720,22
CO,00930,52
VT,00375,3
NM,00770,24
SD,00855,13
MT,00916,15
AL,00002,23
CO,02482,16
NY,00100,449
CA,00123,171
CA,00120,927
VA,00943,121
TX,02041,38
AZ,02082,15
BC,00155,3
MN,00188,81
AR,00785,25
CT,00482,4
FL,00510,680
NV,00270,3
WV,00138,7
HI,00126,16
AK,01004,49
IN,00934,5
ID,00941,203
NH,02004,35
TX,00184,549
TN,00875,206
TX,00925,95
CT,00072,16
AL,00930,4
TN,00488,750
CA,00128,1052
FL,00843,430
KY,00488,48
BC,00061,7
MS,00379,29
KS,00140,61
NJ,00072,86
WI,00061,551
WY,00003,179
GA,00408,584
HI,00403,26
WA,02041,11
WA,00101,398
PA,00725,72
ON,00881,6
LA,00133,7
AB,00404,24
UT,00493,500
IN,00225,31
NH,02408,4
UT,00138,474
AK,00072,11
IL,00140,352
WY,00130,6
DE,02031,13
UT,03090,55
KS,00012,42
SK,00404,8
MO,00650,149
OK,02044,6
NJ,00003,412
NM,00865,16
IL,01435,5
NY,00428,32
WA,00883,150
KS,00934,3
NV,00920,6
ME,00140,58
WA,00650,113
MA,00001,40
TN,02012,10
FL,00810,721
AL,00024,10
NC,00920,35
NV,00941,87
NV,00850,164
WI,00079,69
WV,00865,5
NY,00114,78
CT,02494,4
MO,00845,18
VA,00001,109
RI,00078,74
IL,00050,73
KS,02056,15
MO,02491,20
SC,02725,6
VA,00901,3
MN,00134,17
WY,02005,4
CT,00032,35
GA,01005,9
NC,00616,75
BC,00200,5
TX,02060,124
HI,00405,3
AZ,02005,28
MS,00460,42
PA,00405,260
PA,00755,116
LA,00425,15
CO,00508,17
PA,02077,21
OK,00875,18
NJ,02050,4
ID,00940,214
CA,00005,1324
NY,00101,1682
WI,01102,5
NY,00225,16
TN,00017,321
PA,00074,351
UT,02062,77
FL,00881,99
ME,00180,41
OH,02765,5
NJ,00750,19
MN,00383,10
WA,02483,6
OR,00435,89
MN,00785,22
NE,02039,8
TX,00062,1076
MI,00482,56
ON,00843,6
MI,02483,12
GA,00740,19
NJ,00620,26
WV,00134,14
MS,02031,3
FL,00991,5
ND,00180,13
AK,00854,93
TX,04100,36
NC,00720,25
NC,00195,65
TN,00865,12
OH,00854,231
LA,02493,15
MD,00022,16
MS,00073,52
SC,00510,20
VA,02005,17
AR,02005,11
AK,00725,3
NE,00298,13
MT,00481,145
SC,02002,16
AZ,00114,124
SC,00880,51
WI,00241,6
MB,00883,5
MD,00780,6
WY,00379,57
UT,00058,792
OK,00074,3
WY,00428,8
TN,00740,5
WA,00200,267
NC,00530,46
NJ,00004,543
BC,00022,20
ID,00260,195
KS,00770,3
MO,00079,83
MO,00045,142
AL,00625,94
MA,00061,165
TX,00129,1515
NJ,00486,155
BC,09001,15
IA,00199,241
KY,00966,10
BC,00018,3
OR,00120,151
NM,00056,138
PA,00041,440
FL,00031,2380
AL,00129,263
LA,00004,202
MN,00433,544
GA,00697,346
CO,03090,18
CO,02408,246
ND,00039,158
HI,00254,31
NM,02061,6
ID,01004,20
MI,00140,447
NM,00005,96
GA,00966,123
VA,00851,29
AR,00617,5
ND,00870,30
WA,00140,332
SC,00943,53
IN,00082,26
HI,00616,19
GA,00610,80
PA,09007,86
IN,01488,3
SC,02493,13
UT,00970,7
SD,02483,3
TX,02074,8
NY,00403,311
MT,00115,113
IL,00184,112
ND,00811,13
FL,00960,12
WA,02102,213
NE,00494,99
WI,02060,23
UT,00133,393
BC,00079,4
CO,02770,5
OR,00058,114
ND,02061,21
KS,00408,57
MS,00492,114
NV,02408,3
KS,00966,16
AB,00406,7
ID,00613,51
KS,00400,4
CA,00660,446
MB,00003,12
NY,00901,10
NY,02022,4
ID,00965,27
TN,02006,5
MO,00404,241
WA,00210,92
OK,01003,48
TN,00140,73
UT,00188,278
IA,00350,14
OR,00131,155
IN,00045,36
GA,02750,10
ON,00488,3
AR,00882,42
NJ,00150,9
AZ,00024,43
WI,00617,10
VA,00428,17
NV,00108,6
UT,02078,6
SD,00250,8
MB,00062,16
NV,00001,38
BC,02039,4
MT,00990,10
IN,02493,8
VT,00995,8
MN,00077,7
IA,00883,45
KS,00045,14
NM,00298,30
MD,00012,32
ME,00650,8
IN,00298,46
TN,02483,8
FL,03090,34
VA,00072,46
MT,00488,251
IL,00942,75
WA,00765,16
MO,00048,89
MN,00975,7
WY,00508,16
HI,00408,20
VT,02031,3
TX,00270,225
MI,02003,698
WV,00425,9
MD,00210,10
HI,00404,87
SD,00061,196
ON,00100,6
NV,00960,15
AZ,02492,75
OR,01003,38
TX,00197,143
NJ,00187,138
CT,00039,150
NV,00126,45
AK,00078,18
AZ,00843,152
NJ,00854,237
ON,00406,3
AB,00492,23
IA,00880,152
MA,00650,61
NE,00082,34
OR,00625,30
KY,00133,3
WY,00245,13
WI,02488,41
PA,00379,443
MD,00200,18
MI,00402,164
MT,04000,12
TN,02494,94
NM,02070,4
ID,00881,29
IA,00990,16
ND,00188,30
MS,02070,3
NE,00045,70
SK,00810,11
MD,00660,6
AL,00975,4
AZ,00155,68
MI,00508,55
NY,00616,57
IL,02486,21
NJ,00725,25
RI,00061,106
NV,02005,18
ND,00916,17
OH,02785,4
WA,00075,88
MO,00482,71
MO,00433,129
ND,02435,20
WA,00482,27
AR,00199,77
MS,00433,10
WY,00425,21
OK,00184,11
OR,00138,142
WY,00108,11
OH,00750,23
MN,00610,93
OH,00486,147
KS,00482,4
UT,00134,117
AL,00111,48
OR,00510,35
MI,00617,33
SD,00482,67
FL,00074,379
NC,00613,208
DE,00943,4
VT,00041,4
ID,00364,37
PA,09012,275
MO,02062,11
NE,00840,55
MO,00467,134
CO,02012,76
WI,00435,223
VA,00114,5
MN,00128,320
MB,00941,8
AK,02003,43
MA,00048,60
AR,00488,62
NC,00610,57
NV,00114,40
SC,00350,37
AR,00508,58
CO,00855,46
WI,00765,7
MN,00811,145
CT,00073,3
MT,00044,169
OK,02002,3
MS,00050,57
CA,02493,378
ME,00820,9
MO,00196,3
MT,00031,166
LA,00245,17
UT,DC854,4
MA,00942,24
TX,00005,815
NM,00050,67
MS,00079,38
AZ,00184,81
WA,00070,61
WA,00780,19
AZ,00750,19
KS,01488,4
AZ,02041,3
NH,00943,8
WV,00133,17
NC,00450,97
KS,00082,11
FL,02002,14
CO,00960,7
WV,00245,6
NC,00966,97
WI,00375,3
CA,wo10,4
AK,00245,8
KY,00845,5
CA,00260,1635
BC,00298,10
WI,00022,57
DE,00941,3
BC,00435,11
NV,02032,16
SC,02074,16
MO,00225,14
LA,00108,9
MS,00740,9
MS,02039,4
MO,00408,96
LA,00851,6
PA,00875,1285
MN,00619,32
RI,00012,77
IN,00006,14
IL,01102,8
SC,00100,25
TX,00630,303
NJ,00101,86
HI,00875,7
WY,00875,123
TN,00024,40
FL,01003,37
PA,00381,66
NM,00039,171
ME,00243,5
WA,00078,58
GA,00058,471
LA,01003,32
AZ,00241,22
HI,00032,6
ID,00610,25
NC,00077,5
MN,02082,41
CO,00616,144
UT,DP801,809
WI,02481,9
NY,00004,2069
AZ,00199,239
LA,00072,9
UT,00730,25
OH,00070,98
MA,01003,10
UT,00129,877
WY,00101,63
PA,00192,358
AK,00187,50
NV,00854,151
ON,00875,4
FL,00450,849
OK,00965,9
HI,00493,20
MA,00072,37
BC,00082,5
CA,00001,703
MN,00294,3
KS,00298,3
MS,00435,48
NV,00486,97
VA,00004,448
AR,00100,64
CT,00865,17
TN,00071,16
TN,00735,9
TN,04000,21
NY,00075,241
AR,00243,38
AR,00750,26
OK,00044,27
AR,00481,33
AR,00775,56
WI,00196,9
MO,00492,263
AK,00851,79
KS,00435,92
OH,00225,14
WY,00775,12
AL,00130,30
FL,00625,238
NE,00140,152
CA,00003,3792
GA,02082,9
VA,00619,13
NC,00427,162
NV,00072,90
NJ,00225,35
MT,00450,59
CA,00294,30
TN,00482,7
NY,00881,59
IN,00400,4
NM,00995,6
HI,00450,5
CT,00492,106
LA,00101,38
NJ,00775,18
MS,00071,10
NV,00616,10
CA,00062,1322
TN,00031,466
SD,00460,31
TN,VP941,4
CA,00810,1084
IL,00375,7
PA,00408,1016
KS,00735,3
UT,00111,108
ME,00061,13
RI,00660,237
OR,00875,161
PR,00843,3
IL,02060,13
ND,00841,22
AK,00197,4
RI,00018,189
OH,00942,46
NH,00492,197
KS,02080,57
MO,00031,462
IN,02080,4
ND,00965,6
ME,02060,17
NY,00492,1936
WY,02775,8
ND,00031,192
KY,00875,16
TX,00901,25
ME,02004,26
WY,00942,37
MN,00002,207
TX,00486,327
NH,00435,13
UT,99802,10
UT,02492,58
AK,02493,19
IA,00129,325
NE,00510,54
KY,00199,27
OR,00493,330
WI,00943,158
CT,00074,32
NE,00493,84
TN,00380,13
HI,00048,3
CA,02005,218
KY,00810,53
OR,00360,19
MT,00619,13
CA,00225,315
WY,00243,24
PA,DC801,2740
OR,00488,382
AL,00003,237
WV,00184,9
TX,00111,237
GA,00192,34
WY,00882,81
TN,00697,98
WY,00843,109
CO,00048,251
WI,02024,4
CA,00360,131
AR,00940,56
MI,00187,928
IA,00760,3
IL,02408,25
IN,00770,3
VA,00197,23
AR,00111,80
NH,00078,82
LA,00942,6
CA,00871,222
MB,00004,23
TX,00745,92
GA,00735,47
MA,02004,270
VA,00243,5
MN,00488,530
CT,00483,4
VA,02001,6
ON,00129,4
WY,00360,9
ID,00245,26
IA,00111,71
CA,00650,1090
VA,00364,12
MO,00854,122
TX,02494,525
TN,00060,219
ND,00129,190
OK,01004,53
UT,00017,471
AL,00101,43
MA,00851,16
NY,02060,34
FL,VP943,11
WV,00155,10
FL,00975,8
NC,00408,60
WA,00920,165
FL,00130,24
TX,00032,1655
SD,00660,45
MI,00930,27
MD,00403,16
PA,00254,295
SC,00114,7
GA,00450,641
AL,00619,6
CO,00881,119
ID,02005,26
BC,00482,5
KS,00920,4
NY,02039,74
WI,00486,193
MA,00486,41
MO,00725,5
GA,00379,245
PA,00082,768
MO,00192,29
MA,00775,3
ND,00120,25
WV,00002,35
ID,02022,3
AZ,00630,44
NC,00379,93
HI,00082,8
IL,01488,4
GA,04000,46
NV,00048,78
NM,00102,63
LA,00402,13
OK,00101,86
WA,00080,234
NE,04000,9
TX,02077,16
HI,00060,25
HI,00045,11
NV,00433,112
MI,00080,609
MI,02770,5
TN,00400,21
PA,00740,69
FL,00406,770
CA,00108,130
OH,00012,330
MI,00270,180
SC,00660,17
NE,00872,22
MN,00379,156
CA,00100,1223
TX,00078,529
WI,00403,220
CA,00428,330
WA,02056,45
NE,00843,140
PA,00375,54
MN,04000,59
BC,00032,10
IN,00019,14
NV,00061,69
MS,00765,11
NY,00200,931
WA,00745,10
AR,00001,29
TX,00820,517
RI,00080,79
KS,00192,9
NC,00483,16
OH,02482,5
CO,00078,223
NE,02080,14
NY,00433,488
AR,01004,27
ME,00241,4
NM,00360,4
NJ,00180,130
LA,00111,5
OK,00450,52
UT,00365,23
MD,00225,18
CO,00080,220
OH,02002,3
UT,02002,3
WA,00100,141
MI,00100,550
VA,00003,406
AZ,00245,17
NJ,00760,26
FL,00875,541
MA,00870,17
IA,00044,16
GA,00482,71
VA,02078,4
KY,00965,6
NJ,00425,66
AZ,00133,53
TN,00018,217
NM,00620,4
OK,04000,17
FL,04000,62
OH,00180,47
NH,00031,75
GA,00140,533
UT,00755,30
HI,00019,13
WY,00350,11
TX,00243,166
FL,00660,37
ON,00024,4
MI,00871,33
MT,00405,22
WI,00225,13
UT,00840,109
ID,00660,18
AZ,00188,77
AR,02082,5
WA,00004,827
MD,00650,26
NC,00934,17
AZ,00880,247
NE,00014,65
KY,00770,5
CT,00530,26
ME,00001,29
MD,00114,5
MI,00880,388
NY,00996,4
CA,02755,6
CO,00364,40
TX,00350,206
ON,00613,6
IL,02005,12
IA,00916,21
WV,00620,10
MD,00942,6
NE,00060,65
NJ,00821,31
NY,02005,110
MN,00381,17
KY,00491,133
AZ,00428,19
IA,00870,51
NE,00365,7
TX,00965,103
CA,02074,21
WV,00131,24
NE,00697,77
FL,00128,342
WV,00619,7
SC,00785,10
KS,02070,7
NJ,00745,7
NJ,02075,15
PA,00031,2645
VT,00018,3
VT,00074,5
OH,00004,507
MN,00810,376
UT,00620,109
NY,00045,252
ON,00003,17
CO,04100,36
KS,00014,25
HI,00872,9
WI,00427,246
VT,00379,5
TN,00365,6
ND,02070,36
MT,02012,15
SC,00101,11
UT,00297,22
OK,00260,24
CA,00730,175
MT,00483,61
NY,00078,312
MD,00018,15
KS,00433,148
CO,00072,204
ME,00188,6
OH,00243,52
LA,00100,11
MI,00250,39
AZ,00820,137
MD,01102,4
MS,00854,5
IN,00079,46
WV,01004,6
NJ,00406,362
NV,00078,70
VA,02491,11
KS,00079,7
CA,00880,1029
OR,00613,161
PR,00493,8
AL,00491,169
IN,00150,3
MO,00082,71
TX,02482,29
MI,00925,8
KS,00056,68
VA,00270,13
VA,00650,166
MA,02003,274
NY,00400,31
TX,00150,68
MN,00625,114
ND,00810,19
WY,00406,124
MO,00850,284
AK,00486,30
IL,00920,253
FL,00880,355
OR,00630,71
CO,00150,23
AK,00821,6
NM,00965,4
ND,02031,14
LA,02005,3
IN,00854,74
IN,00850,163
SC,00270,36
MI,02041,6
CO,02494,178
MO,00140,154
KS,00865,22
PA,02050,102
RI,00241,19
MN,00242,9
ID,00062,118
KY,00619,6
WY,00133,47
OR,00433,251
TX,00128,612
CO,00210,61
AB,00433,14
SC,00260,98
KS,00725,3
CT,02003,19
KS,09001,3
NY,00001,669
ME,02491,12
CO,00405,53
OK,00003,131
MI,00210,163
MT,00102,173
SD,00012,81
HI,02050,3
MO,00050,55
MO,09001,3
NJ,00851,103
MS,00060,129
WV,00697,3
AR,00108,12
QL,00138,8
CT,00082,11
NJ,02494,43
MT,00192,3
MI,00241,27
VA,00486,72
NC,00872,127
AR,00843,36
OR,00619,32
WI,02001,5
MT,00019,93
OH,00360,45
PA,00006,603
SC,00881,25
MA,00200,380
MN,02481,8
MI,00061,932
KY,00975,4
CA,02044,46
MI,00942,179
PR,00133,4
WI,00200,200
BC,00775,20
VA,00854,232
WA,02003,322
RI,00243,54
GA,00882,344
CA,00960,62
NV,00101,18
CO,02493,167
IA,00115,184
VA,00970,9
FL,00195,44
PA,00943,4271
MN,09001,30
WA,00460,107
MA,00402,30
OH,02491,39
NY,00934,10
ME,00486,7
DE,02408,10
NC,00294,4
NJ,00820,135
NC,00044,70
MI,00460,334
KS,00697,60
NC,00014,74
OR,00062,187
MO,02488,44
AL,02005,17
TX,00123,60
MD,00617,5
MA,00032,116
FL,00129,691
TN,00916,71
UT,00530,59
MT,00811,15
IL,00155,119
FL,02022,4
VT,02004,11
WA,00187,167
TX,00941,603
NV,02003,85
AZ,00508,8
OH,00200,177
PR,00965,3
VT,00872,5
IL,00851,149
WV,00883,17
IA,02078,4
ND,00044,18
MA,00940,47
TN,00014,96
NY,00012,656
NJ,00197,21
SD,00018,90
AL,00188,53
MN,00017,345
TX,02022,16
TX,00187,912
SD,00022,219
MT,02062,9
NV,00298,9
AB,00032,3
ON,00760,4
AL,00062,53
VT,00735,3
MD,00941,17
IA,00810,87
MD,00930,11
MT,00131,118
MT,00242,5
NJ,00942,89
MT,00520,25
BC,00140,20
UT,00871,77
MD,00920,16
KY,00180,30
UT,00883,1367
VA,00012,160
PA,02750,3
WI,00405,7
HI,00483,3
WY,00660,19
FL,02082,22
TN,00044,156
VA,00460,56
AR,00840,51
CO,00075,320
GA,00530,137
AL,00058,61
SC,00225,23
NJ,00964,3
NE,00488,215
MI,00150,44
NE,00128,274
MO,00925,3
IN,02494,9
TN,00625,90
CT,00126,12
IL,00925,3
WY,00184,99
NE,00995,10
RI,00854,113
ND,00491,63
SC,00650,119
MI,VP940,25
TN,00492,580
WY,00916,58
TN,00530,59
MO,00039,359
CO,00032,454
MI,00854,849
WY,00002,34
FL,00245,218
SD,02494,32
IL,00854,297
TN,00433,251
FL,00108,20
FL,00133,245
GA,00995,76
NE,00630,58
KS,02408,25
KY,00102,113
AZ,00660,145
NV,00492,35
OK,00245,11
TX,00850,1626
NM,00041,34
UT,02006,13
WA,00930,21
MI,02044,7
BC,00765,8
IL,00940,218
AR,00260,72
NE,00071,3
AL,00960,3
IN,00920,30
WV,00360,3
ON,00131,8
PA,00196,34
CT,00403,16
MS,00041,47
MI,00940,445
FL,00613,413
ND,00630,156
ID,00428,7
OK,00180,7
MN,02775,4
HI,00697,18
VA,00964,3
NH,00433,7
OH,00150,6
WV,01003,25
ID,00508,14
MT,00365,3
VT,00450,14
MA,01004,8
MI,00725,31
TN,00845,19
TX,02002,30
FL,00111,128
MA,00508,16
MS,00006,62
IN,00405,8
VA,01004,4
MA,00018,149
SC,02775,7
MT,00491,185
FL,00101,1735
PA,00697,2223
VA,00660,63
OK,00870,5
FL,00508,55
SC,00061,88
NJ,02482,5
CO,00012,328
MN,02075,15
SK,00128,3
CO,00045,223
NJ,02060,34
NC,00031,419
AR,00425,42
FL,00005,924
TN,00404,395
BC,02494,4
UT,00070,184
GA,00031,1263
MI,02765,4
GA,00050,343
ND,00364,4
CT,00132,7
SD,02004,11
ID,00855,12
TX,VP943,3
WI,02408,35
GA,00916,61
IN,00765,6
WI,02494,43
WY,00840,59
OR,00916,11
SC,00184,75
CO,00061,554
IA,00841,8
AR,00960,12
OH,00508,40
FL,00058,510
NC,00916,147
MD,00019,6
MN,00481,40
NC,00017,184
IN,00995,3
NE,00041,28
FL,00870,225
WI,00920,8
IA,00003,244
TN,00950,9
NM,00120,20
MD,02491,6
NJ,00200,228
GA,02006,8
ID,00619,19
ID,00101,125
TN,00520,48
MA,00854,65
MD,00187,42
NM,00074,109
CA,00184,1090
OH,00197,6
NY,00854,297
WI,02012,7
FL,00855,81
MN,00245,125
RI,00077,5
MD,00058,19
ND,00508,7
MO,00044,38
ND,00428,5
SC,00765,3
OR,00250,6
AR,00150,6
SD,00132,73
CA,02003,775
MA,00405,25
SC,00045,88
FL,02488,232
CO,02750,12
WA,00031,472
WI,00735,6
NC,00250,5
NM,00425,17
VA,00365,8
WV,00943,11
NV,00740,3
WA,00044,192
NH,00070,4
AK,00845,14
MS,00494,105
MN,02041,7
OR,00070,123
NY,02780,5
WY,02012,3
SC,00375,5
PA,01004,69
AB,00491,15
AZ,00072,70
GA,00820,251
CA,00045,839
CA,00765,146
MO,00002,58
KS,00481,4
ME,00126,14
ND,00003,119
WI,00408,500
OK,01488,60
CO,00916,65
ID,00745,34
UT,00930,16
WV,00022,6
MI,02062,11
CO,00882,219
SC,00408,8
GA,00080,343
NC,00188,139
NM,00129,81
NJ,00126,52
ND,00150,8
WV,00126,16
WY,00402,32
MO,00855,28
MN,00225,55
NC,00180,89
CA,00995,203
MN,00851,312
NJ,09001,12
IA,00187,74
GA,00123,54
OH,00044,70
AL,00082,54
PA,00916,238
CA,02001,83
NC,00120,46
AL,00925,3
NV,00192,23
FL,00048,668
PA,00002,423
OR,00650,89
KY,02004,7
AZ,00150,20
TX,00082,588
NY,00071,20
AL,02080,16
MA,00990,17
VT,00494,68
OH,00403,364
KS,04000,4
OR,00851,108
ME,02012,17
CT,00003,118
UT,02024,5
MI,00619,95
OR,00617,19
NH,00024,3
NJ,00031,325
AZ,02408,69
CO,01488,264
CO,00082,195
NJ,00435,127
SD,00192,49
MA,00041,31
AL,00019,31
KS,02061,3
IL,00408,250
AR,00433,84
FL,02060,96
WA,00811,95
SD,00006,95
WI,00810,196
OH,00492,330
GA,00941,525
ON,00375,8
VT,00130,7
WA,00400,38
NJ,00380,12
MS,00630,3
PR,00940,6
TN,00619,7
ID,02483,6
MI,00294,3
BC,00014,3
AK,02004,53
SD,00408,70
NC,00134,9
SD,00625,41
KS,00488,229
ME,00405,24
NC,00428,14
MS,00130,5
MN,00942,102
SC,00925,5
CA,00048,726
OR,00660,25
MD,00720,4
NY,00483,124
NV,00483,13
ND,00616,15
WA,00625,154
MT,00730,10
IA,00850,370
OH,00380,13
MS,00195,21
MI,00811,55
AK,00126,19
ME,00074,26
AK,00044,54
SD,00019,522
OR,00243,7
